"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Q1","STD3NK90ZT4","19.685mm","28.575mm","19.685mm","31.75mm","17.385mm","25.25mm","T","360.00","STD3NK90ZT4"
"P2","MicroXNJ","6mm","3.673mm","6mm","5mm","4.7mm","5mm","T","0.00","MicroXNJ"
"P1","901-211A1021D10100","20mm","11.645mm","20mm","13mm","16.5mm","13mm","T","360.00","901-211A1021D10100"
"L2","YNR3015-2R2M","26.035mm","19.05mm","26.035mm","19.05mm","26.035mm","20.2mm","T","270.00","YNR3015-2R2M"
"L1","YNR3015-2R2M","10.795mm","19.05mm","10.795mm","19.05mm","10.795mm","17.9mm","T","90.00","YNR3015-2R2M"
"D3","CUS10S30,H3F","6.35mm","13.335mm","6.35mm","13.335mm","6.35mm","14.485mm","T","270.00","CUS10S30,H3F"
"D2","CUS10S30,H3F","8.89mm","13.335mm","8.89mm","13.335mm","8.89mm","14.485mm","T","270.00","CUS10S30,H3F"
"D1","CUS10S30,H3F","26.035mm","28.575mm","26.035mm","28.575mm","26.035mm","27.425mm","T","90.00","CUS10S30,H3F"
"C20","CAP_0402_HIGH","18.415mm","17.78mm","18.415mm","17.78mm","18.415mm","17.33mm","T","90.00","100nF"
"C19","CAP_0603_HIGH","23.495mm","15.875mm","23.495mm","15.875mm","24.195mm","15.875mm","T","180.00","10uF"
"C18","CAP_0603_HIGH","19.685mm","15.875mm","19.685mm","15.875mm","18.985mm","15.875mm","T","360.00","10uF"
"C17","CAP_0603_HIGH","21.59mm","22.225mm","21.59mm","22.225mm","20.89mm","22.225mm","T","360.00","10uF"
"C16","CAP_0603_HIGH","15.24mm","22.225mm","15.24mm","22.225mm","15.94mm","22.225mm","T","180.00","10uF"
"C15","CAP_0603_HIGH","15.24mm","15.875mm","15.24mm","15.875mm","14.54mm","15.875mm","T","360.00","4.7uF"
"C14","CAP_0402_HIGH","5.08mm","9.525mm","5.08mm","9.525mm","5.08mm","9.075mm","T","90.00","4.7uF"
"C13","CAP_0402_HIGH","5.08mm","7.62mm","5.08mm","7.62mm","5.08mm","8.07mm","T","270.00","4.7uF"
"C12","CAP_0402_HIGH","20.32mm","45.085mm","20.32mm","45.085mm","20.32mm","45.535mm","T","270.00","100nF"
"C11","CAP_0402_HIGH","20.32mm","46.99mm","20.32mm","46.99mm","20.32mm","46.54mm","T","90.00","100nF"
"C10","CAP_0402_HIGH","11.43mm","26.67mm","11.43mm","26.67mm","11.88mm","26.67mm","T","180.00","100nF"
"C9","CAP_0402_HIGH","13.335mm","26.67mm","13.335mm","26.67mm","12.885mm","26.67mm","T","360.00","100nF"
"C8","CAP_0402_HIGH","22.225mm","50.8mm","22.225mm","50.8mm","22.675mm","50.8mm","T","180.00","100nF"
"C7","CAP_0402_HIGH","18.415mm","44.704mm","18.415mm","44.704mm","18.865mm","44.704mm","T","180.00","100nF"
"C6","CAP_0603_HIGH","17.78mm","47.244mm","17.78mm","47.244mm","18.48mm","47.244mm","T","180.00","10uF"
"C5","CAP_0402_HIGH","18.415mm","45.974mm","18.415mm","45.974mm","18.865mm","45.974mm","T","180.00","100nF"
"C2","CAP_0402_HIGH","2.54mm","50.038mm","2.54mm","50.038mm","2.99mm","50.038mm","T","180.00","100nF"
"C1","CAP_0603_HIGH","2.921mm","48.768mm","2.921mm","48.768mm","3.621mm","48.768mm","T","180.00","10uF"
"B2","K2-1808SN-A4SW-01","21.59mm","40.005mm","21.59mm","40.005mm","20.515mm","37.855mm","T","90.00","K2-1808SN-A4SW-01"
"B1","K2-1808SN-A4SW-01","15.875mm","40.005mm","15.875mm","40.005mm","16.95mm","42.155mm","T","270.00","K2-1808SN-A4SW-01"

